No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
94,28/10/24,Meiyazhagan,Tamil,2024,,,Home,C. Prem Kumar,177 min,"Family, Drama",7.9,2024,"Twenty-two years after losing his home, Arulmozhi Varman returns to his native Thanjavur to attend his cousin's wedding. Amidst the celebrations, Arul is reintroduced to an upbeat man whom he cannot recall. With the help of the unknown man, Arul reconnects with his past.",Found,
93,27/10/24,The Substance,English,2024,,,Home,Coralie Fargeat,141 min,"Drama, Horror, Science Fiction",7.149,2024,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Found,
92,25/10/24,Vettaiyan,Tamil,2024,,,Home,T. J. Gnanavel,161 min,"Action, Crime, Drama",6.167,2024,A sought-after Supercop gets caught in a series of unexpected events when he encounters a suspect who is accused of being involved in a murder case.,Found,
91,24/10/24,Black,Tamil,2024,,,Theatre,Guan Hu,116 min,Drama,7.224,2024,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",Found,
90,24/10/24,Transformers One,English,2024,,,Home,Josh Cooley,104 min,"Animation, Science Fiction, Adventure, Family",7.995,2024,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Found,0
89,22/10/24,Lubber Pandhu,Tamil,2024,,,Theatre,Tamizharasan Pachamuthu,146 min,"Family, Drama, Comedy",7.8,2024,Middle aged local cricketer Poomalai finds a new rival in the form of a younger sports person named Anbu. Their rivalry in cricket gets complicated when Anbu falls in love with Poomalai's daughter Durga.,Found,
88,17/10/24,La La Land,English,2016,,2,Home,Damien Chazelle,129 min,"Comedy, Drama, Romance",7.898,2016,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Found,0
87,15/10/24,National Treasure,English,2004,,2,Home,Jon Turteltaub,131 min,"Adventure, Action, Thriller, Mystery",6.643,2004,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",Found,
86,07/10/24,Easy A,English,2010,,5,Home,Will Gluck,93 min,Comedy,6.808,2010,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Found,0
85,05/10/24,When Harry Met Sally…,English,1989,,3,Home,Rob Reiner,96 min,"Comedy, Romance, Drama",7.4,1989,"Sex always gets in the way of friendships between men and women. At least, that's what Harry Burns believes. So when Harry meets Sally Albright and a deep friendship blossoms between them, Harry's determined not to let his attraction to Sally destroy it. But when a night of weakness ends in a morning of panic, can the pair avoid succumbing to Harry's fears by remaining friends and admitting they just might be the perfect match for each other?",Found,
84,04/10/24,Piku,Hindi,2015,,4,Home,Shoojit Sircar,123 min,"Comedy, Drama",7.1,2015,A taxi driver is caught between a dysfunctional relationship between a woman and her father as he drives them to Kolkata.,Found,
83,28/09/24,Kottukkaali,Tamil,2024,,,Home,P. S. Vinothraj,104 min,Drama,7.5,2024,"A family decides to visit their clan God to cure their daughter, thought to be possessed because she is in love with a man from a different caste. The journey, accompanied by her betrothed, unveils tensions between tradition and personal freedom, exposing her silent rebellion.",Found,
82,21/09/24,Tumbbad,Hindi,2018,,2,Theatre,Rahi Anil Barve,113 min,"Fantasy, Horror",7.6,2018,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",Found,
81,21/09/24,Veer-Zaara,Hindi,2004,,,Theatre,Yash Chopra,192 min,"Drama, Romance",7.4,2004,"Squadron Leader Veer Pratap Singh, a pilot in the Indian Air Force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",Found,
80,18/09/24,Sector 36,Hindi,2024,,,Home,Aditya Nimbalkar,124 min,"Crime, Thriller, Drama",7.1,2024,"When several children disappear at the hands of a serial killer in Sector 36, a corrupt cop is forced to pursue the chilling case at all costs.",Found,
79,08/09/24,Anatomy of a Fall,French,2023,,,Home,Justine Triet,151 min,"Thriller, Mystery, Crime",7.531,2023,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",Found,
78,08/09/24,No Strings Attached,English,2011,,2,Home,Ivan Reitman,107 min,"Comedy, Romance",6.296,2011,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",Found,
77,07/09/24,Anyone But You,English,2023,,,Home,Will Gluck,103 min,"Romance, Comedy",6.833,2023,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",Found,
76,06/09/24,The Matrix Resurrections,English,2021,,,Home,Lana Wachowski,147 min,"Science Fiction, Action, Adventure",6.4,2021,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",Found,
75,02/09/24,The Matrix Revolutions,English,2003,,,Home,"Lilly Wachowski, Lana Wachowski",129 min,"Adventure, Action, Thriller, Science Fiction",6.746,2003,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Found,
74,01/09/24,The Terminal,English,2004,,3,Home,Steven Spielberg,128 min,"Comedy, Drama",7.349,2004,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",Found,0
73,31/08/24,The Matrix Reloaded,English,2003,,,Home,"Lilly Wachowski, Lana Wachowski",138 min,"Adventure, Action, Thriller, Science Fiction",7.069,2003,"The Resistance builds in numbers as humans are freed from the Matrix and brought to the city of Zion. Neo discovers his superpowers, including the ability to see the code inside the Matrix. With machine sentinels digging to Zion in 72 hours, Neo, Morpheus and Trinity must find the Keymaker to ultimately reach the Source.",Found,0
72,31/08/24,The Matrix,English,1999,,2,Home,"Lana Wachowski, Lilly Wachowski",136 min,"Action, Science Fiction",8.237,1999,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Found,0
71,31/08/24,American Beauty,English,1999,,2,Home,Sam Mendes,122 min,Drama,8.003,1999,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Found,
70,25/08/24,Piku,Hindi,2015,,3,Home,Shoojit Sircar,123 min,"Comedy, Drama",7.1,2015,A taxi driver is caught between a dysfunctional relationship between a woman and her father as he drives them to Kolkata.,Found,
69,24/08/24,Alien: Romulus,English,2024,,,Theatre,Fede Álvarez,119 min,"Horror, Science Fiction",7.175,2024,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Found,
