No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
108,09/07/21,American Pie 2,English,2001,,,Home,J.B. Rogers,108 min,"Comedy, Romance",6.247,2001,"After a year apart - attending different schools, meeting different people - the guys rent a beach house and vow to make this the best summer ever. As it turns out, whether that will happen or not has a lot to do with the girls. Between the wild parties, outrageous revelations and yes, a trip to band camp, they discover that times change and people change, but in the end, it's all about sticking together.",Found,
107,06/07/21,Atonement,English,2007,,,Home,Joe Wright,123 min,"Drama, Romance",7.6,2007,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Found,
106,05/07/21,Ayyappanum Koshiyum,Malayalam,2020,,,Home,Sachy,177 min,"Action, Comedy, Thriller",7.702,2020,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",Found,
105,04/07/21,Maayavan,Tamil,2017,,,Home,C. V. Kumar,129 min,"Science Fiction, Thriller, Action",6.8,2017,"A series of murders are happening in the city, and a cop realises that they are all eerily similar. Can he find out the link and capture the murderer before it is too late?",Found,
104,04/07/21,Midnight in Paris,English,2011,Good,,Home,Woody Allen,94 min,"Fantasy, Comedy, Romance",7.52,2011,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",Found,
103,03/07/21,Delhi Belly,Hindi,2011,,,Home,Abhinay Deo,102 min,"Action, Comedy",7.1,2011,"Three unsuspecting, average guys find themselves on the hit list of one of India's most-powerful crime syndicates.",Found,
102,03/07/21,Raavanan,Tamil,2010,,,Home,Mani Ratnam,134 min,"Action, Adventure, Crime",7.0,2010,"After inspector Dev stirs the reign of Veeraiya, a tribal outlaw, the latter responds by kidnapping his wife, Ragini. While she tries to escape from him, Dev fights many resistances to find her.",Found,0
101,03/07/21,Zebra Girl,English,2021,,,Home,Stephanie Zari,79 min,"Thriller, Mystery, Crime",6.3,2021,Catherine's seemingly perfect rural life is turned upside down after she discovers her husband is hiding a dark secret that leads her to the unthinkable: murder.,Found,
100,30/06/21,Ustad Hotel,Malayalam,2012,,,Home,Anwar Rasheed,150 min,"Drama, Comedy",7.556,2012,"When his father refuses to support his choice of a career, an aspiring chef tries to fulfil his dream by helping his grandfather run his small eatery.",Found,
99,29/06/21,Seaspiracy,English,2021,,,Home,Ali Tabrizi,89 min,"Documentary, Crime",7.845,2021,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers an alarming global conspiracy.",Found,
98,28/06/21,A Quiet Place Part II,English,2020,,,Home,John Krasinski,96 min,"Science Fiction, Thriller, Horror",7.454,2021,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Found,
97,28/06/21,Piku,Hindi,2015,Good,,Home,Shoojit Sircar,123 min,"Comedy, Drama",7.1,2015,A taxi driver is caught between a dysfunctional relationship between a woman and her father as he drives them to Kolkata.,Found,
96,27/06/21,Masaan,Hindi,2015,Good,,Home,Neeraj Ghaywan,109 min,Drama,7.077,2015,"Four lives intersect along the Ganges: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",Found,
95,27/06/21,Taare Zameen Par,Hindi,2007,,,Home,Aamir Khan,162 min,Drama,7.99,2007,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",Found,
94,26/06/21,Cruella,English,2021,,,Home,Craig Gillespie,134 min,"Comedy, Crime, Adventure",7.985,2021,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Found,
93,26/06/21,Aaranya Kaandam ,Tamil,2010,,,Home,Thiagarajan Kumararaja,126 min,"Comedy, Action, Crime, Drama",7.7,2011,A drama that unfolds between two rival mafia gangs on a single day when a bag of cocaine gets stolen by two innocent people.,Found,
92,20/06/21,Luca,English,2021,,,Home,Enrico Casarosa,95 min,"Animation, Comedy, Fantasy, Adventure, Family",7.788,2021,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,Found,0
91,20/06/21,Mayanadi,Malayalam,2017,,,Home,Aashiq Abu,135 min,"Drama, Romance",7.7,2017,"A shady money deal goes wrong and in the aftermath Mathan  ends up killing a police officer. Meanwhile in Kochi, his old flame Aparna  an aspiring actress is struggling to prop up her career. Mathan meets up with Aparna and tries to rekindle the past, even as the police hunt for him gets intense.",Found,
90,19/06/21,Jagame Thandhiram,Tamil,2021,,,Home,Karthik Subbaraj,158 min,"Crime, Drama",5.6,2021,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow.",Found,
89,13/06/21,Jigarthanda,Tamil,2014,,,Home,Karthik Subbaraj,170 min,"Music, Crime, Comedy, Thriller",7.5,2014,A budding director endeavors to research a merciless gangster for making a film on gangsterism. But his secret attempts to conduct the research fail when he gets caught for snooping.,Found,
88,12/06/21,June,Malayalam,2019,,,Home,Ahammed Khabeer,141 min,"Family, Drama",6.553,2019,"The life story of a girl named June from 16 years of her age until she turned 26, thereby giving an insight into those ten years of her life.",Found,0
87,07/06/21,Iraivi,Tamil,2016,Good,,Home,Karthik Subbaraj,153 min,"Crime, Drama, Family, Romance",7.2,2016,Three men try to overcome the problems in their lives not realising the impact their efforts are having on the women in their lives.,Found,
86,06/06/21,KD,Tamil,2019,Good,,Home,Dušan Rapoš,100 min,"Family, Fantasy",3.111,2018,"Barborka and Tomík vacation at their grandparents at the smithy beneath Dragon Rock, where the double-headed dragon Čmoudík (Smoky) is working hard.",Found,
85,06/06/21,The Dreamers,English,2003,,,Home,Bernardo Bertolucci,115 min,"Drama, Romance",7.186,2003,"When Isabelle and Theo invite Matthew to stay with them, what begins as a casual friendship ripens into a sensual voyage of discovery and desire in which nothing is off limits and everything is possible.",Found,
84,06/06/21,Malaysia to Amnesia,Tamil,2021,,,Home,Radha Mohan,116 min,Comedy,3.0,2021,"Malaysia To Amnesia revolves around two childhood friends who plan to get married. However, they face complications as they are unable to cope with married life.",Found,
83,05/06/21,The Conjuring: The Devil Made Me Do It,English,2021,,,Home,Michael Chaves,111 min,"Horror, Mystery, Thriller",7.39,2021,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",Found,
82,30/05/21,Mandela,Tamil,2021,,2,Home,Madonne Ashwin,140 min,"Comedy, Drama",7.086,2021,An underprivileged hairdresser becomes the game changer in a local body election in a village where caste politics rules the roost. Will he be able to bring some changes to people's lives?,Found,0
81,29/05/21,Care of Kancharapalem,Telugu,2018,Good,2,Home,Venkatesh Maha,152 min,"Drama, Romance",7.4,2018,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",Found,
80,28/05/21,American Pie,English,1999,,,Home,Paul Weitz,95 min,"Comedy, Romance",6.6,1999,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",Found,
79,28/05/21,Wrath of Man,English,2021,,,Home,Guy Ritchie,119 min,"Thriller, Crime, Drama",7.597,2021,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",Found,
78,23/05/21,Uriyadi,Tamil,2016,Good,,Home,Vijay Kumar,126 min,"Thriller, Action",8.0,2016,A group of college students gets entangled in the scheme of a fledgling caste outfit that wants to turn into a political party.,Found,
77,22/05/21,Train to Busan,Korean,2016,Good,,Home,Yeon Sang-ho,118 min,"Horror, Thriller, Action, Adventure",7.752,2016,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",Found,
76,22/05/21,Army of the Dead,English,2021,,,Home,Zack Snyder,146 min,"Crime, Action, Horror",6.222,2021,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",Found,0
75,21/05/21,Cinema Bandi,Telugu,2021,,,Home,Praveen Kandregula,98 min,"Drama, Comedy",6.8,2021,A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,Found,
74,16/05/21,The Man in the Moon,English,1991,,,Home,Robert Mulligan,99 min,"Drama, Family, Romance",7.4,1991,"Maureen Trant and her younger sibling Dani share a strong connection, but local boy Court Foster threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.",Found,
73,15/05/21,The Father,English,2020,,,Home,Florian Zeller,97 min,Drama,8.097,2020,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Found,0
72,15/05/21,Care of Kancharapalem,Telugu,2018,Good,,Home,Venkatesh Maha,152 min,"Drama, Romance",7.4,2018,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",Found,
71,14/05/21,Kaala,Tamil,2018,,,Home,Pa. Ranjith,166 min,"Action, Crime, Drama",6.618,2018,"Karikaalan consistently fights to keep the people of Dharavi, a slum in Mumbai, safe from the clutches of mighty politicians and the land mafia don, Hari Dhadha.",Found,0
70,09/05/21,Helen,Malayalam,2019,,,Home,Mathukutty Xavier,117 min,"Drama, Thriller, Family",7.49,2019,An ordinary suburban girl faces the biggest battle of her life when her sudden disappearance for a brief period leads to a desperate search by her loved ones.,Found,0
69,09/05/21,Kill Bill: Vol. 2,English,2004,,,Home,Quentin Tarantino,136 min,"Action, Crime, Thriller",7.876,2004,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",Found,0
68,02/05/21,Kill Bill: Vol. 1,English,2003,,,Home,Quentin Tarantino,111 min,"Action, Crime",7.971,2003,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",Found,0
67,01/05/21,Karnan,Tamil,2021,,,Home,Mari Selvaraj,152 min,"Drama, Action",7.4,2021,"Karnan, an angry young man, fights for the rights of his oppressed people. Can he save them from those who wield power and weapons?",Found,
66,25/04/21,Ninnila Ninnila,Telugu,2021,,,Home,Ani I. V. Sasi,118 min,"Comedy, Romance",7.0,2021,"In London, Dev, an overweight, genius chef who suffers with muscle spasms, meets Tara and love blossoms, but things take an interesting turn when he crosses paths with Maya.",Found,
65,25/04/21,Thaen,Tamil,2021,Good,,Home,Ganesh Vinayak,121 min,Drama,8.8,2021,"A naive and uneducated youngster, who earns living by beekeeping in a forest, gets the shock of his life when his wife is diagnosed with a rare disease. The lack of documents to prove his identity makes things worse for him",Found,
64,24/04/21,Ko,Tamil,2011,,,Home,K. V. Anand,160 min,"Action, Thriller",7.188,2011,"Ashwin is a photographer, covering the upcoming elections for a newspaper. His life gets entangled with politics when one of his published photographs upsets a corrupt political party.",Found,0
63,23/04/21,Jathi Ratnalu,Telugu,2021,,,Home,Anudeep,148 min,"Comedy, Drama",7.2,2021,"Srikanth and his friends Sekhar and Ravi head to the city in pursuit of some izzat. Once there, they realise that maybe they were better off back home in Jogipet.",Found,
62,18/04/21,Raya and the Last Dragon,English,2021,,,Home,"Carlos López Estrada, Don Hall",107 min,"Animation, Family, Fantasy, Action, Adventure",7.821,2021,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",Found,
61,17/04/21,Annayum Rasoolum,Malayalam,2013,,,Home,Rajeev Ravi,167 min,"Drama, Romance",7.6,2013,"A taxi driver, Rasool and a salesgirl, Anna fall in love with each other. But soon their union is put to question when Anna persuades Rasool to convert to Christianity.",Found,
60,17/04/21,Nobody,English,2021,,,Home,Ilya Naishuller,91 min,"Action, Thriller",7.893,2021,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",Found,0
59,16/04/21,Secretary,English,2002,,,Home,Steven Shainberg,111 min,"Romance, Drama, Comedy",6.795,2002,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Found,0
58,14/04/21,Klaus,English,2019,Good,,Home,Sergio Pablos,97 min,"Animation, Family, Adventure, Comedy, Fantasy",8.224,2019,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",Found,0
57,11/04/21,Yennai Arindhaal,Tamil,2015,,,Home,Gautham Vasudev Menon,176 min,"Thriller, Action",7.0,2015,"Sathyadev, who is on a career break, is forced to put on his cop shoes ones again to save Thenmozhi, a young woman who is the target of a criminal organ harvesting group, led by a ghost from his past.",Found,
56,10/04/21,Joji,Malayalam,2021,,,Home,Dileesh Pothan,113 min,"Drama, Crime",7.4,2021,"Joji, an engineering dropout and the youngest son of a rich family lives with his aspirations of becoming super wealthy. Driven by greed and blind ambition, he decides to execute his plans following an unexpected event in the family.",Found,
55,06/04/21,Mandela,Tamil,2021,,,Home,Madonne Ashwin,140 min,"Comedy, Drama",7.086,2021,An underprivileged hairdresser becomes the game changer in a local body election in a village where caste politics rules the roost. Will he be able to bring some changes to people's lives?,Found,0
54,06/04/21,The Breakfast Club,English,1985,Good,,Home,John Hughes,98 min,"Comedy, Drama",7.728,1985,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",Found,
53,06/04/21,The Big Lebowski,English,1998,Good,,Home,Joel Coen,117 min,"Comedy, Crime",7.839,1998,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",Found,0
52,03/04/21,Amelie,English,2001,,,Home,Jean-Pierre Jeunet,122 min,"Comedy, Romance",7.916,2001,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",Found,0
51,02/04/21,Godzilla Vs. Kong,English,2021,,,Home,Adam Wingard,114 min,"Action, Science Fiction, Adventure",7.546,2021,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",Found,0
50,28/03/21,Boogie Nights,English,1997,,,Home,Paul Thomas Anderson,156 min,Drama,7.634,1997,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",Found,
49,27/03/21,My Girl,English,1991,,,Home,Howard Zieff,103 min,"Comedy, Drama",7.406,1991,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",Found,0
48,21/03/21,How to Lose a Guy in 10 Days,English,2003,Good,,Home,Donald Petrie,116 min,"Comedy, Romance",6.853,2003,"It's the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking—and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!",Found,
47,20/03/21,Yes Day,English,2021,,,Home,Miguel Arteta,86 min,"Family, Comedy",6.698,2021,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,Found,
46,19/03/21,Zack Snyder's Justice League,English,2021,Good,,Home,Zack Snyder,242 min,"Action, Adventure, Fantasy",8.108,2021,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Found,
45,15/03/21,Up in the Air,English,2009,Good,,Home,Jason Reitman,110 min,"Drama, Romance",6.882,2009,"Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he’s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.",Found,
44,14/03/21,The Boy Who Harnessed the Wind,English,2019,,,Home,Chiwetel Ejiofor,113 min,"Drama, History",7.897,2019,"Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",Found,
43,14/03/21,One Night in Miami,English,2020,,,Home,Regina King,114 min,Drama,7.017,2020,"In the aftermath of Cassius Clay's defeat of Sonny Liston in 1964, the boxer meets with Malcolm X, Sam Cooke and Jim Brown to change the course of history in the segregated South.",Found,
42,10/03/21,Alaipayuthey,Tamil,2000,Good,,Home,Mani Ratnam,156 min,"Romance, Drama",7.4,2000,"Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be.",Found,
41,09/03/21,Tamasha,Hindi,2015,,,Home,Imtiaz Ali,139 min,"Romance, Drama, Comedy",6.9,2015,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.",Found,
40,08/03/21,Inside Job,English,2010,Good,,Home,Charles Ferguson,109 min,"Documentary, Crime",7.698,2010,"A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.",Found,
39,08/03/21,The Trial of the Chicago 7,English,2020,,,Home,Aaron Sorkin,130 min,"Drama, History",7.671,2020,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,Found,
38,07/03/21,Revolutionary Road,English,2009,,,Home,Sam Mendes,119 min,"Drama, Romance",6.988,2008,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,Found,
37,02/03/21,Magamuni,Tamil,2019,,,Home,Santha Kumar,157 min,"Drama, Thriller, Crime",7.0,2019,Two long-separated brothers end up in life-threatening situations. How do their lives intersect and what happens next?,Found,
36,27/02/21,About Time,English,2013,,,Home,Richard Curtis,123 min,"Drama, Romance, Fantasy",7.906,2013,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",Found,0
35,23/02/21,Drishyam 2,Malayalam,2021,,,Home,Jeethu Joseph,153 min,"Thriller, Crime, Drama",7.542,2021,"7 years after the events of Drishyam, the family lives with the trauma from that fateful night. A gripping tale of an investigation and a family threatened by it. Will Georgekutty be able to protect his family this time?",Found,
34,21/02/21,Angamaly Diaries,Malayalam,2017,,,Home,Lijo Jose Pellissery,132 min,"Action, Comedy, Thriller",7.3,2017,Six young friends in the small town of Angamaly tries their luck by starting a pork business lead by Vincent Pepe. They initially strike a business deal with Rajan and Ravi despite the duo having killed a close friend of theirs in a gang fight. Vincent is in love with Sakhi and plan to immigrate abroad with her. But their plans hit a road bump as the deal with the gangsters hits some road bumps.,Found,
33,19/02/21,Aanandam,Malayalam,2016,Good,,Home,Ganesh Raj,134 min,"Adventure, Comedy, Romance",7.3,2016,A group of students visit Goa and Hampi while on their college trip. Their experiences during their journey help them understand the intricacies of love and friendship.,Found,
32,18/02/21,Predestination,English,2014,,,Home,"Michael Spierig, Peter Spierig",98 min,"Science Fiction, Thriller",7.419,2014,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",Found,0
31,17/02/21,No Strings Attached,English,2011,Good,,Home,Ivan Reitman,107 min,"Comedy, Romance",6.296,2011,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",Found,
30,16/02/21,The Map of Tiny Perfect Things,English,2021,,,Home,Ian Samuels,99 min,"Fantasy, Romance",7.125,2021,Two teenagers trapped in an endless time loop set out to find all the tiny things that make that one day perfect.,Found,
29,15/02/21,To All the Boys: Always and Forever,English,2021,,,Home,Michael Fimognari,115 min,"Romance, Comedy, Drama",7.517,2021,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,Found,
28,14/02/21,Apollo 13,English,1995,Good,,Home,Ron Howard,140 min,"Drama, History",7.451,1995,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",Found,0
27,09/02/21,Leon: The Professional,English,1994,Good,,Home,Luc Besson,111 min,"Crime, Drama, Action",8.3,1994,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",Found,
26,08/02/21,The Girl Next Door,English,2004,Good,,Home,Luke Greenfield,110 min,"Comedy, Romance",6.735,2004,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",Found,0
25,07/02/21,Cast Away,English,2000,Good,,Home,Robert Zemeckis,143 min,"Adventure, Drama",7.661,2000,"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",Found,0
24,05/02/21,The Big Short,English,2015,Good,,Home,Adam McKay,131 min,"Comedy, Drama",7.359,2015,The men who made millions from a global economic meltdown.,Found,
23,04/02/21,50/50,English,2011,,,Home,Jonathan Levine,100 min,"Comedy, Drama",7.178,2011,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Found,0
22,04/02/21,The Fundamentals of Caring,English,2016,,,Home,Rob Burnett,97 min,"Comedy, Drama",7.293,2016,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",Found,
21,04/02/21,The Dig,English,2021,,,Home,Simon Stone,112 min,"Drama, History",6.853,2021,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎.",Found,0
20,31/01/21,The Great Indian Kitchen,Malayalam,2021,,,Home,Jeo Baby,100 min,Drama,7.533,2021,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be.",Found,
19,31/01/21,Pizza,Tamil,2012,,,Home,Karthik Subbaraj,127 min,"Thriller, Comedy, Romance, Horror",6.942,2012,"Michael, a pizza delivery boy, lives with Anu, an aspiring horror fiction writer. One day, on a delivery run, he goes to a bungalow, where mysterious events begin to unfold.",Found,0
18,29/01/21,The White Tiger,English,2021,,,Home,Ramin Bahrani,125 min,Drama,6.976,2021,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,Found,
17,29/01/21,Master,Tamil,2021,,,Home,Lokesh Kanagaraj,179 min,"Action, Thriller, Crime",6.603,2021,"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster, who uses the children of the school for criminal activities.",Found,0
16,28/01/21,Maara,Tamil,2021,,,Home,Dhilip Kumar,150 min,Drama,6.7,2021,"When Paaru sees a fairy tale she heard from from a stranger as a child painted across the walls of a costal town, she goes in search of the man who painted it - Maara.",Found,0
15,26/01/21,The Silence of the Lambs,English,1991,,,Home,Jonathan Demme,119 min,"Crime, Thriller, Drama",8.346,1991,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",Found,0
14,25/01/21,Godzilla: King of Monsters,English,2019,,,Home,Michael Dougherty,132 min,"Science Fiction, Action",6.689,2019,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Found,0
13,25/01/21,Moneyball,English,2011,,,Home,Bennett Miller,134 min,Drama,7.281,2011,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",Found,
12,23/01/21,The Hobbit: The Battle of the Five Armies,English,2014,,,Home,Peter Jackson,144 min,"Action, Adventure, Fantasy",7.327,2014,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Found,
